#ITERNUM	METIME1	METIME2
651	1002	1004
652	1002	1001
653	1002	1000
654	999	998
655	998	999
656	1002	1002
657	1002	1002
658	1002	1002
659	1002	1002
660	1004	1002
661	1002	1002
662	1002	1002
663	1002	1001
664	1002	1004
665	1002	1002
666	1002	1001
667	1002	1002
668	1002	1002
669	1004	1002
670	1002	1002
671	1002	1002
672	1002	1002
673	1002	1004
674	1002	1001
675	1002	1002
676	1002	1002
677	1002	1001
678	1004	1002
679	1002	1000
680	998	998
681	999	1000
682	1004	1002
683	1002	1002
684	1002	1002
685	1002	1002
686	1002	1002
687	1002	1002
688	1002	1001
689	1002	1002
690	1002	1002
691	1004	1002
692	1002	1002
693	1002	1002
694	1002	1002
695	1002	1004
696	1002	1002
697	1002	1002
698	1002	1002
699	1002	1001
700	1004	1002
701	1002	1002
702	1002	1002
703	1002	1002
704	1002	1004
705	1002	1002
706	999	998
707	998	998
708	1002	1002
709	1004	1002
710	1002	1002
711	1002	1002
712	1002	1002
713	1002	1004
714	1002	1002
715	1002	1002
716	1002	1002
717	1002	1002
718	1004	1001
719	1002	1002
720	1002	1002
721	1002	1001
722	1002	1004
723	1002	1002
724	1002	1002
725	1002	1002
726	1002	1001
727	1002	1002
728	1002	1002
729	1002	1001
730	1002	1002
731	1004	1002
732	1000	998
733	998	998
734	999	1001
735	1002	1004
736	1002	1002
737	1002	1001
738	1002	1002
739	1002	1002
740	1004	1002
741	1002	1002
742	1002	1002
743	1002	1002
744	1002	1004
745	1002	1001
746	1002	1002
747	1002	1002
748	1002	1001
749	1004	1002
750	1002	1002
751	1002	1002
752	1002	1002
753	1002	1003
754	1002	1002
755	1002	1002
756	1002	1001
757	1002	1002
758	1004	1000
759	998	998
760	998	999
761	1002	1001
762	1002	1004
763	1002	1002
764	1002	1001
765	1061	1002
766	1002	1002
767	1004	1002
768	1002	1002
769	1002	1001
770	1002	1002
771	1002	1004
772	1002	1001
773	1002	1002
774	1002	1002
775	1002	1002
776	1002	1002
777	1002	1001
778	1002	1002
779	1002	1002
780	1004	1001
781	1002	1002
782	1002	1002
783	1002	1002
784	1002	1004
785	1001	999
786	998	998
787	999	1002
788	1002	1001
789	1004	1002
790	1002	1002
791	1002	1002
792	1002	1002
793	1002	1003
794	1002	1002
795	1002	1002
796	1002	1001
797	1002	1002
798	1004	1002
799	1002	1002
800	1002	1002
801	1002	1001
802	1002	1004
803	1002	1002
804	1002	1001
805	1002	1002
806	1002	1002
807	1004	1002
808	1002	1002
809	1002	1002
810	1002	1002
811	1004	1000
812	998	998
813	999	999
814	1002	1002
815	1002	1002
816	1002	1002
817	1002	1002
818	1002	1002
819	1002	1002
820	1004	1001
821	1002	1002
822	1002	1002
823	1002	1002
824	1002	1004
825	1002	1002
826	1002	1002
827	1002	1002
828	1004	1001
829	1004	1002
830	1002	1002
831	1002	1002
832	1018	1002
833	1002	1004
834	1002	1001
835	1002	1002
836	1002	1002
837	1002	1004
838	999	998
839	998	998
840	1001	1002
841	1002	1002
842	1004	1001
843	1002	1002
844	1002	1002
845	1002	1002
846	1002	1004
847	1002	1001
848	1002	1002
849	1002	1002
850	1002	1001
851	1004	1002
852	1002	1002
853	1002	1002
854	1002	1002
855	1002	1003
856	1002	1002
857	1002	1002
858	1002	1002
859	1002	1002
860	1004	1002
861	1002	1002
862	1002	1002
863	1002	1001
864	1002	1003
865	999	998
866	998	998
867	1002	1002
868	1002	1001
869	1002	1002
870	1002	1002
871	1002	1001
872	1002	1002
