#ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS	STD
12600	1001	1001	1201	0	200	2	95	1.07
12601	1002	1001	1202	1	201	3	95	1.08
12602	1002	1002	1204	0	202	2	95	1.07
12603	1003	1003	1203	0	200	2	95	1.07
12604	1003	1003	1205	0	202	2	95	1.07
12605	1003	1003	1203	0	200	2	95	1.07
12606	1003	1003	1205	0	202	2	95	1.07
12607	1003	1003	1203	0	200	2	95	1.07
12608	1002	1002	1204	0	202	2	95	1.07
12609	1003	1003	1205	0	202	2	95	1.07
12610	1002	1002	1204	0	202	2	95	1.07
12611	1003	1003	1205	0	202	2	95	1.07
12612	1002	1002	1204	0	202	2	95	1.07
12613	1003	1003	1205	0	202	2	95	1.07
12614	1003	1003	1205	0	202	2	95	1.07
12615	1002	1002	1204	0	202	2	95	1.07
12616	1004	1003	1206	1	203	3	95	1.07
12617	999	999	1201	0	202	2	95	1.07
12618	1002	1002	1206	0	204	2	95	1.07
12619	1002	1002	1204	0	202	2	95	1.07
12620	1003	1003	1203	0	200	2	95	1.07
12621	1002	1002	1204	0	202	2	95	1.07
12622	1002	1002	1204	0	202	2	95	1.07
12623	1005	1004	1207	1	203	3	95	1.07
12624	1002	1002	1204	0	202	2	95	1.07
12625	1003	1003	1205	0	202	2	95	1.07
12626	1003	1003	1203	0	200	2	95	1.07
12627	1002	1002	1204	0	202	2	95	1.07
12628	1003	1003	1205	0	202	2	95	1.07
12629	1003	1003	1203	0	200	2	95	1.07
12630	1002	1002	1204	0	202	2	95	1.07
12631	1003	1003	1205	0	202	2	95	1.07
12632	1003	1003	1203	0	200	2	95	1.07
12633	999	999	1199	0	200	2	95	1.07
12634	1002	1002	1204	0	202	2	95	1.07
12635	1002	1002	1204	0	202	2	95	1.07
12636	1003	1003	1205	0	202	2	95	1.07
12637	1002	1002	1204	0	202	2	95	1.07
12638	1005	1004	1205	1	201	3	95	1.07
12639	1003	1003	1203	0	200	2	95	1.07
12640	1003	1003	1205	0	202	2	95	1.07
12641	1002	1002	1204	0	202	2	95	1.07
12642	1003	1003	1204	0	201	2	95	1.07
12643	1003	1003	1203	0	200	2	95	1.07
12644	1002	1002	1204	0	202	2	95	1.07
12645	1004	1003	1206	1	203	3	95	1.07
12646	1003	1003	1205	0	202	2	95	1.07
12647	1003	1003	1205	0	202	2	95	1.07
12648	1003	1003	1203	0	200	2	95	1.07
12649	999	999	1199	0	200	2	95	1.07
12650	1002	1002	1202	0	200	2	95	1.07
12651	1002	1002	1206	0	204	2	95	1.07
12652	1003	1003	1208	0	205	3	95	1.07
12653	1003	1003	1205	0	202	2	95	1.07
12654	1003	1003	1205	0	202	2	95	1.07
12655	1003	1003	1203	0	200	2	95	1.07
12656	1002	1002	1204	0	202	2	95	1.07
12657	1002	1002	1204	0	202	2	95	1.07
