#ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS	STD
50	2005	2005	2205	0	200	2	95	1.34
51	2007	2006	2209	1	203	3	95	1.34
52	2001	2001	2203	0	202	2	95	1.42
53	2005	2005	2205	0	200	2	95	1.41
54	2005	2005	2205	0	200	2	95	1.40
55	2007	2006	2207	1	201	3	95	1.40
56	2005	2005	2207	0	202	2	95	1.38
57	2001	2001	2203	0	202	2	95	1.45
58	2005	2005	2205	0	200	2	95	1.44
59	2005	2005	2207	0	202	2	95	1.43
60	2005	2005	2206	0	201	3	95	1.42
61	2005	2005	2207	0	202	2	95	1.41
62	2003	2003	2203	0	200	2	95	1.41
63	2005	2005	2207	0	202	2	95	1.40
64	2007	2006	2209	1	203	3	95	1.40
65	2005	2005	2205	0	200	2	95	1.39
66	2005	2005	2206	0	201	2	95	1.38
67	2004	2004	2206	0	202	2	95	1.37
68	2006	2005	2208	1	203	3	95	1.36
69	2005	2005	2205	0	200	2	95	1.35
70	2005	2004	2204	1	200	2	95	1.35
71	2005	2005	2207	0	202	2	95	1.34
72	2007	2006	2207	1	201	3	95	1.34
73	2002	2002	2202	0	200	2	95	1.36
74	2005	2005	2205	0	200	2	95	1.35
75	2005	2005	2205	0	200	2	95	1.35
76	2007	2006	2209	1	203	3	95	1.35
77	2005	2005	2207	0	202	2	95	1.34
78	2001	2001	2203	0	202	2	95	1.39
79	2005	2005	2207	0	202	2	95	1.38
80	2005	2005	2207	0	202	2	95	1.38
81	2006	2005	2205	1	200	2	95	1.37
82	2005	2005	2207	0	202	2	95	1.36
83	2001	2001	2203	0	202	2	95	1.41
84	2005	2005	2205	0	200	2	95	1.40
85	2007	2006	2209	1	203	3	95	1.40
86	2005	2005	2207	0	202	2	95	1.39
87	2006	2005	2205	1	200	2	95	1.39
88	2002	2002	2204	0	202	2	95	1.41
89	2007	2006	2209	1	203	3	95	1.41
90	2006	2005	2203	1	198	2	95	1.40
91	2006	2005	2203	1	198	2	95	1.39
92	2005	2005	2207	0	202	2	95	1.38
93	2006	2005	2208	1	203	3	95	1.38
94	2004	2004	2204	0	200	2	95	1.37
95	2005	2005	2207	0	202	2	95	1.37
96	2005	2005	2207	0	202	2	95	1.36
97	2009	2007	2211	2	204	4	95	1.37
98	2005	2005	2205	0	200	2	95	1.37
99	2001	2001	2203	0	202	2	95	1.41
100	2006	2005	2205	1	200	2	95	1.40
101	2007	2006	2209	1	203	3	95	1.40
102	2005	2005	2207	0	202	2	95	1.39
103	2005	2005	2205	0	200	2	95	1.39
104	2001	2001	2203	0	202	2	95	1.43
105	2005	2005	2207	0	202	2	95	1.42
106	2007	2005	2206	2	201	3	95	1.41
107	2005	2005	2207	0	202	2	95	1.41
108	2005	2005	2207	0	202	2	95	1.40
109	2002	2001	2204	1	203	3	95	1.44
110	2007	2006	2209	1	203	3	95	1.44
111	2005	2005	2207	0	202	2	95	1.43
112	2005	2005	2207	0	202	2	95	1.43
113	2005	2005	2207	0	202	2	95	1.42
114	2004	2003	2206	1	203	3	95	1.42
115	2005	2005	2207	0	202	2	95	1.42
116	2005	2005	2205	0	200	2	95	1.41
117	2005	2005	2205	0	200	2	95	1.40
118	2007	2006	2207	1	201	3	95	1.40
119	2004	2004	2206	0	202	2	95	1.40
120	2004	2004	2204	0	200	2	95	1.39
121	2005	2005	2207	0	202	2	95	1.39
122	2007	2006	2209	1	203	3	95	1.39
123	2005	2005	2207	0	202	2	95	1.38
124	2005	2005	2207	0	202	2	95	1.38
125	2002	2001	2201	1	200	2	95	1.41
126	2005	2005	2207	0	202	2	95	1.41
127	2005	2005	2207	0	202	2	95	1.40
128	2005	2005	2207	0	202	2	95	1.40
129	2005	2005	2205	0	200	2	95	1.39
130	2001	2001	2203	0	202	2	95	1.42
131	2007	2006	2209	1	203	3	95	1.42
132	2005	2005	2207	0	202	2	95	1.42
133	2005	2005	2207	0	202	2	95	1.41
134	2005	2005	2207	0	202	2	95	1.41
135	2003	2002	2203	1	201	3	95	1.42
136	2005	2005	2207	0	202	2	95	1.41
137	2005	2005	2207	0	202	2	95	1.41
138	2005	2005	2207	0	202	2	95	1.40
139	2007	2006	2207	1	201	3	95	1.40
140	2002	2002	2204	0	202	2	95	1.42
141	2005	2005	2207	0	202	2	95	1.41
142	2005	2005	2207	0	202	2	95	1.41
143	2006	2005	2207	1	202	3	95	1.40
144	2006	2006	2206	0	200	2	95	1.40
145	2003	2003	2203	0	200	2	95	1.40
146	2004	2004	2206	0	202	2	95	1.40
147	2005	2006	2204	-1	198	2	95	1.40
148	2005	2005	2207	0	202	2	95	1.40
149	2005	2005	2205	0	200	2	95	1.39
150	2006	2005	2203	1	198	2	95	1.39
151	2002	2002	2204	0	202	2	95	1.40
152	2007	2006	2207	1	201	3	95	1.40
153	2005	2005	2207	0	202	2	95	1.39
154	2005	2005	2207	0	202	2	95	1.39
155	2005	2005	2205	0	200	2	95	1.39
156	2003	2002	2203	1	201	3	95	1.40
157	2005	2005	2207	0	202	2	95	1.39
158	2005	2005	2205	0	200	2	95	1.39
159	2005	2005	2207	0	202	2	95	1.38
160	2007	2006	2207	1	201	3	95	1.38
161	2001	2001	2201	0	200	2	95	1.41
162	2005	2005	2203	0	198	2	95	1.41
163	2005	2005	2205	0	200	2	95	1.40
164	2007	2006	2209	1	203	3	95	1.40
165	2006	2006	2204	0	198	2	95	1.40
166	2002	2002	2202	0	200	2	95	1.41
167	2005	2005	2207	0	202	2	95	1.41
168	2007	2006	2207	1	201	3	95	1.41
169	2005	2005	2207	0	202	2	95	1.40
170	2005	2005	2207	0	202	2	95	1.40
171	2004	2004	2204	0	200	2	95	1.40
172	2004	2004	2206	0	202	2	95	1.39
173	2007	2006	2207	1	201	3	95	1.39
174	2005	2005	2207	0	202	2	95	1.39
175	2005	2005	2207	0	202	2	95	1.39
176	2005	2005	2205	0	200	2	95	1.38
177	2005	2004	2205	1	201	3	95	1.38
178	2005	2005	2205	0	200	2	95	1.38
179	2005	2005	2207	0	202	2	95	1.37
180	2005	2005	2205	0	200	2	95	1.37
181	2007	2006	2209	1	203	3	95	1.37
182	2001	2001	2203	0	202	2	95	1.39
183	2005	2005	2207	0	202	2	95	1.39
184	2005	2005	2207	0	202	2	95	1.38
185	2007	2006	2207	1	201	3	95	1.38
186	2005	2005	2205	0	200	2	95	1.38
187	2001	2001	2203	0	202	2	95	1.40
188	2005	2005	2205	0	200	2	95	1.40
189	2007	2006	2209	1	203	3	95	1.40
190	2005	2005	2207	0	202	2	95	1.40
191	2005	2005	2207	0	202	2	95	1.39
192	2001	2001	2203	0	202	2	95	1.41
193	2005	2005	2205	0	200	2	95	1.41
194	2005	2005	2205	0	200	2	95	1.41
195	2005	2005	2207	0	202	2	95	1.40
196	2005	2005	2207	0	202	2	95	1.40
197	2004	2004	2203	0	199	2	95	1.40
198	2006	2005	2208	1	203	3	95	1.39
199	2005	2005	2207	0	202	2	95	1.39
200	2005	2005	2205	0	200	2	95	1.39
201	2005	2005	2207	0	202	2	95	1.38
202	2007	2005	2206	2	201	3	95	1.38
203	2003	2003	2205	0	202	2	95	1.38
204	2005	2005	2207	0	202	2	95	1.38
205	2005	2005	2205	0	200	2	95	1.38
206	2007	2006	2209	1	203	3	95	1.38
207	2005	2005	2207	0	202	2	95	1.37
208	2002	2001	2199	1	198	2	95	1.39
209	2005	2005	2207	0	202	2	95	1.39
210	2007	2006	2208	1	202	3	95	1.39
211	2005	2005	2206	0	201	2	95	1.39
212	2005	2005	2207	0	202	2	95	1.38
213	2001	2001	2203	0	202	2	95	1.40
214	2005	2005	2209	0	204	2	95	1.40
215	2005	2005	2205	0	200	2	95	1.40
216	2005	2005	2207	0	202	2	95	1.39
217	2005	2005	2207	0	202	2	95	1.39
218	2001	2001	2203	0	202	2	95	1.41
219	2007	2006	2209	1	203	3	95	1.41
220	2005	2005	2207	0	202	2	95	1.40
221	2005	2005	2203	0	198	2	95	1.40
222	2005	2005	2207	0	202	2	95	1.40
223	2004	2003	2206	1	203	3	95	1.40
224	2005	2005	2207	0	202	2	95	1.40
225	2005	2005	2207	0	202	2	95	1.39
226	2005	2005	2207	0	202	2	95	1.39
227	2007	2006	2209	1	203	3	95	1.39
228	2003	2003	2203	0	200	2	95	1.39
229	2004	2004	2206	0	202	2	95	1.39
230	2006	2005	2203	1	198	2	95	1.39
231	2007	2006	2209	1	203	3	95	1.39
232	2006	2005	2205	1	200	2	95	1.38
233	2005	2005	2207	0	202	2	95	1.38
234	2001	2001	2202	0	201	2	95	1.40
235	2007	2006	2207	1	201	3	95	1.40
236	2005	2005	2207	0	202	2	95	1.40
237	2005	2005	2207	0	202	2	95	1.39
238	2005	2005	2207	0	202	2	95	1.39
239	2003	2003	2205	0	202	2	95	1.39
240	2005	2005	2207	0	202	2	95	1.39
241	2005	2005	2207	0	202	2	95	1.39
242	2005	2005	2207	0	202	2	95	1.38
243	2005	2005	2207	0	202	2	95	1.38
244	2007	2006	2209	1	203	3	95	1.38
245	2001	2001	2202	0	201	2	95	1.40
246	2005	2005	2207	0	202	2	95	1.39
247	2005	2005	2207	0	202	2	95	1.39
248	2007	2006	2209	1	203	3	95	1.39
249	2005	2005	2207	0	202	2	95	1.39
250	2002	2002	2204	0	202	2	95	1.40
251	2005	2005	2207	0	202	2	95	1.39
252	2007	2006	2207	1	201	3	95	1.39
253	2005	2005	2207	0	202	2	95	1.39
254	2005	2005	2205	0	200	2	95	1.39
255	2005	2005	2207	0	202	2	95	1.39
256	2003	2002	2205	1	203	3	95	1.39
257	2005	2005	2207	0	202	2	95	1.39
258	2005	2005	2203	0	198	2	95	1.39
259	2005	2005	2203	0	198	2	95	1.39
260	2007	2006	2205	1	199	3	95	1.39
261	2001	2002	2200	-1	198	2	95	1.39
262	2005	2005	2205	0	200	2	95	1.39
263	2005	2004	2204	1	200	2	95	1.39
264	2005	2005	2205	0	200	2	95	1.38
265	2005	2005	2205	0	200	2	95	1.38
266	2005	2005	2207	0	202	2	95	1.38
267	2001	2001	2203	0	202	2	95	1.39
268	2005	2005	2207	0	202	2	95	1.39
269	2007	2006	2208	1	202	3	95	1.39
270	2005	2005	2205	0	200	2	95	1.39
271	2005	2005	2205	0	200	2	95	1.39
272	2001	2001	2201	0	200	2	95	1.40
273	2007	2006	2209	1	203	3	95	1.40
274	2005	2005	2207	0	202	2	95	1.40
275	2005	2005	2207	0	202	2	95	1.40
276	2005	2005	2207	0	202	2	95	1.40
277	2007	2006	2209	1	203	3	95	1.40
278	2002	2002	2204	0	202	2	95	1.40
279	2005	2005	2206	0	201	2	95	1.40
280	2005	2005	2207	0	202	2	95	1.40
281	2007	2006	2209	1	203	3	95	1.40
282	2005	2005	2207	0	202	2	95	1.39
283	2001	2001	2203	0	202	2	95	1.41
284	2005	2005	2207	0	202	2	95	1.41
285	2007	2006	2209	1	203	3	95	1.41
286	2005	2005	2207	0	202	2	95	1.40
287	2005	2005	2207	0	202	2	95	1.40
288	2005	2004	2204	1	200	2	95	1.40
289	2003	2003	2205	0	202	2	95	1.40
290	2005	2005	2207	0	202	2	95	1.40
291	2005	2005	2207	0	202	2	95	1.40
292	2005	2005	2205	0	200	2	95	1.39
293	2004	2005	2205	-1	200	2	95	1.39
294	2002	2002	2203	0	201	3	95	1.40
295	2005	2005	2207	0	202	2	95	1.40
296	2005	2005	2205	0	200	2	95	1.39
297	2005	2005	2205	0	200	2	95	1.39
298	2007	2006	2209	1	203	3	95	1.39
299	2004	2004	2206	0	202	2	95	1.39
300	2003	2003	2205	0	202	2	95	1.39
301	2005	2005	2205	0	200	2	95	1.39
302	2007	2006	2209	1	203	3	95	1.39
303	2005	2005	2206	0	201	2	95	1.39
304	2005	2005	2205	0	200	2	95	1.38
305	2001	2001	2203	0	202	2	95	1.40
306	2007	2006	2207	1	201	3	95	1.40
307	2005	2005	2207	0	202	2	95	1.39
308	2005	2005	2207	0	202	2	95	1.39
309	2005	2005	2207	0	202	2	95	1.39
310	2004	2004	2208	0	204	2	95	1.39
311	2004	2004	2206	0	202	2	95	1.39
312	2005	2005	2207	0	202	2	95	1.38
313	2005	2005	2207	0	202	2	95	1.38
314	2005	2005	2207	0	202	2	95	1.38
315	2007	2006	2207	1	201	3	95	1.38
316	2001	2001	2202	0	201	2	95	1.39
317	2005	2005	2205	0	200	2	95	1.39
318	2004	2005	2205	-1	200	2	95	1.39
319	2007	2006	2209	1	203	3	95	1.39
320	2005	2005	2207	0	202	2	95	1.39
321	2002	2002	2204	0	202	2	95	1.39
322	2005	2005	2207	0	202	2	95	1.39
323	2007	2006	2209	1	203	3	95	1.39
324	2005	2005	2205	0	200	2	95	1.39
325	2005	2006	2204	-1	198	2	95	1.39
326	2005	2005	2205	0	200	2	95	1.39
327	2003	2002	2203	1	201	3	95	1.39
328	2005	2005	2205	0	200	2	95	1.39
329	2005	2005	2203	0	198	2	95	1.39
330	2005	2005	2207	0	202	2	95	1.39
331	2007	2006	2209	1	203	3	95	1.39
332	2002	2002	2204	0	202	2	95	1.39
333	2005	2005	2207	0	202	2	95	1.39
334	2005	2005	2203	0	198	2	95	1.39
335	2004	2005	2205	-1	200	2	95	1.39
336	2004	2005	2205	-1	200	2	95	1.38
337	2005	2005	2205	0	200	2	95	1.38
338	2002	2002	2202	0	200	2	95	1.39
339	2005	2005	2207	0	202	2	95	1.39
340	2007	2006	2207	1	201	3	95	1.39
341	2005	2005	2205	0	200	2	95	1.38
342	2005	2005	2206	0	201	2	95	1.38
343	2001	2001	2201	0	200	2	95	1.39
344	2007	2006	2209	1	203	3	95	1.39
345	2005	2005	2207	0	202	2	95	1.39
346	2005	2005	2205	0	200	2	95	1.39
347	2005	2005	2207	0	202	2	95	1.39
348	2007	2005	2206	2	201	3	95	1.39
349	2003	2003	2203	0	200	2	95	1.39
350	2006	2006	2204	0	198	2	95	1.39
351	2005	2005	2205	0	200	2	95	1.39
352	2007	2006	2209	1	203	3	95	1.39
353	2005	2005	2205	0	200	2	95	1.38
354	2001	2001	2203	0	202	2	95	1.39
355	2005	2005	2205	0	200	2	95	1.39
356	2007	2006	2209	1	203	3	95	1.39
357	2005	2005	2205	0	200	2	95	1.39
358	2005	2005	2205	0	200	2	95	1.39
359	2005	2004	2206	1	202	2	95	1.39
360	2005	2004	2207	1	203	3	95	1.39
361	2005	2005	2207	0	202	2	95	1.38
362	2005	2005	2205	0	200	2	95	1.38
363	2005	2004	2204	1	200	2	95	1.38
364	2005	2005	2207	0	202	2	95	1.38
365	2003	2002	2205	1	203	3	95	1.38
366	2006	2006	2208	0	202	2	95	1.38
367	2005	2005	2207	0	202	2	95	1.38
368	2005	2005	2205	0	200	2	95	1.38
369	2007	2006	2209	1	203	3	95	1.38
370	2003	2003	2203	0	200	2	95	1.38
371	2004	2004	2206	0	202	2	95	1.38
372	2005	2005	2207	0	202	2	95	1.38
373	2007	2006	2207	1	201	3	95	1.38
374	2005	2005	2205	0	200	2	95	1.38
375	2005	2005	2207	0	202	2	95	1.38
376	2001	2001	2201	0	200	2	95	1.39
377	2007	2006	2209	1	203	3	95	1.39
378	2005	2005	2207	0	202	2	95	1.38
379	2005	2005	2207	0	202	2	95	1.38
380	2005	2005	2207	0	202	2	95	1.38
381	2004	2003	2206	1	203	3	95	1.38
382	2005	2005	2205	0	200	2	95	1.38
383	2005	2005	2207	0	202	2	95	1.38
384	2005	2005	2205	0	200	2	95	1.38
385	2005	2005	2207	0	202	2	95	1.37
386	2005	2005	2207	0	202	2	95	1.37
387	2001	2001	2203	0	202	2	95	1.38
388	2005	2005	2207	0	202	2	95	1.38
389	2005	2005	2207	0	202	2	95	1.38
390	2006	2006	2207	0	201	3	95	1.38
391	2005	2005	2207	0	202	2	95	1.38
392	2001	2001	2203	0	202	2	95	1.39
393	2005	2005	2207	0	202	2	95	1.39
394	2006	2006	2207	0	201	3	95	1.39
395	2005	2005	2207	0	202	2	95	1.39
396	2005	2005	2207	0	202	2	95	1.38
397	2005	2005	2207	0	202	2	95	1.38
398	2005	2004	2207	1	203	3	95	1.38
399	2005	2005	2207	0	202	2	95	1.38
400	2005	2005	2207	0	202	2	95	1.38
401	2005	2005	2207	0	202	2	95	1.38
402	2007	2006	2209	1	203	3	95	1.38
403	2001	2001	2203	0	202	2	95	1.39
404	2005	2006	2204	-1	198	2	95	1.39
405	2005	2005	2207	0	202	2	95	1.38
406	2007	2005	2208	2	203	3	95	1.38
407	2005	2005	2207	0	202	2	95	1.38
408	2003	2003	2205	0	202	2	95	1.38
409	2004	2004	2206	0	202	2	95	1.38
410	2005	2005	2207	0	202	2	95	1.38
411	2005	2005	2208	0	203	3	95	1.38
412	2005	2005	2207	0	202	2	95	1.38
413	2004	2005	2205	-1	200	2	95	1.37
414	2001	2001	2201	0	200	2	95	1.38
415	2006	2006	2207	0	201	3	95	1.38
416	2005	2005	2207	0	202	2	95	1.38
417	2005	2005	2207	0	202	2	95	1.38
418	2005	2005	2203	0	198	2	95	1.38
419	2004	2003	2206	1	203	3	95	1.38
420	2005	2005	2207	0	202	2	95	1.38
421	2005	2005	2207	0	202	2	95	1.38
422	2005	2005	2207	0	202	2	95	1.38
423	2007	2006	2209	1	203	3	95	1.38
424	2005	2005	2205	0	200	2	95	1.37
425	2001	2001	2203	0	202	2	95	1.38
426	2005	2005	2205	0	200	2	95	1.38
427	2007	2005	2206	2	201	3	95	1.38
428	2005	2005	2207	0	202	2	95	1.38
429	2005	2005	2207	0	202	2	95	1.38
430	2001	2000	2200	1	200	2	95	1.39
431	2007	2006	2209	1	203	3	95	1.39
432	2005	2005	2207	0	202	2	95	1.39
433	2005	2005	2207	0	202	2	95	1.39
434	2005	2005	2207	0	202	2	95	1.39
435	2005	2005	2205	0	200	2	95	1.39
436	2004	2003	2204	1	201	3	95	1.39
437	2005	2005	2207	0	202	2	95	1.39
438	2005	2005	2207	0	202	2	95	1.39
439	2005	2005	2205	0	200	2	95	1.38
440	2007	2006	2209	1	203	3	95	1.38
441	2001	2001	2203	0	202	2	95	1.39
442	2005	2005	2207	0	202	2	95	1.39
443	2005	2005	2207	0	202	2	95	1.39
444	2007	2006	2209	1	203	3	95	1.39
445	2005	2005	2207	0	202	2	95	1.39
446	2004	2004	2205	0	201	2	95	1.39
447	2004	2004	2206	0	202	2	95	1.39
448	2007	2006	2207	1	201	3	95	1.39
449	2005	2005	2207	0	202	2	95	1.39
450	2005	2005	2207	0	202	2	95	1.38
451	2005	2005	2205	0	200	2	95	1.38
452	2003	2002	2205	1	203	3	95	1.39
453	2005	2005	2205	0	200	2	95	1.38
454	2005	2005	2206	0	201	2	95	1.38
455	2005	2005	2205	0	200	2	95	1.38
456	2005	2005	2210	0	205	3	95	1.38
457	2002	2002	2204	0	202	2	95	1.38
458	2005	2005	2207	0	202	2	95	1.38
459	2005	2005	2207	0	202	2	95	1.38
460	2005	2005	2207	0	202	2	95	1.38
461	2007	2005	2206	2	201	3	95	1.38
462	2005	2005	2207	0	202	2	95	1.38
463	2001	2001	2203	0	202	2	95	1.39
464	2005	2005	2207	0	202	2	95	1.38
465	2007	2006	2209	1	203	3	95	1.38
466	2005	2005	2207	0	202	2	95	1.38
467	2005	2005	2207	0	202	2	95	1.38
468	2001	2001	2203	0	202	2	95	1.39
469	2007	2006	2209	1	203	3	95	1.39
470	2005	2005	2207	0	202	2	95	1.39
471	2005	2005	2207	0	202	2	95	1.39
472	2005	2005	2207	0	202	2	95	1.39
473	2008	2006	2209	2	203	3	95	1.39
474	2003	2003	2205	0	202	2	95	1.39
475	2005	2005	2205	0	200	2	95	1.39
476	2005	2005	2207	0	202	2	95	1.38
477	2007	2006	2209	1	203	3	95	1.38
478	2005	2005	2205	0	200	2	95	1.38
479	2001	2001	2203	0	202	2	95	1.39
480	2005	2005	2207	0	202	2	95	1.39
481	2005	2005	2207	0	202	2	95	1.39
482	2005	2005	2207	0	202	2	95	1.39
483	2005	2005	2207	0	202	2	95	1.39
484	2004	2004	2206	0	202	2	95	1.38
485	2004	2004	2206	0	202	2	95	1.38
486	2007	2005	2206	2	201	3	95	1.38
487	2004	2005	2205	-1	200	2	95	1.38
488	2005	2005	2205	0	200	2	95	1.38
489	2005	2005	2205	0	200	2	95	1.38
490	2003	2002	2205	1	203	3	95	1.38
491	2005	2005	2207	0	202	2	95	1.38
492	2005	2005	2207	0	202	2	95	1.38
493	2005	2005	2207	0	202	2	95	1.38
494	2007	2006	2209	1	203	3	95	1.38
495	2002	2002	2202	0	200	2	95	1.38
496	2005	2005	2205	0	200	2	95	1.38
497	2005	2005	2207	0	202	2	95	1.38
498	2008	2007	2210	1	203	3	95	1.38
499	2005	2005	2207	0	202	2	95	1.38
500	2005	2005	2206	0	201	2	95	1.38
501	2001	2001	2201	0	200	2	95	1.39
502	2005	2005	2210	0	205	3	95	1.39
503	2005	2005	2205	0	200	2	95	1.39
504	2005	2005	2205	0	200	2	95	1.38
505	2005	2005	2207	0	202	2	95	1.38
506	2001	2001	2203	0	202	2	95	1.39
507	2007	2006	2209	1	203	3	95	1.39
508	2005	2005	2207	0	202	2	95	1.39
509	2005	2005	2207	0	202	2	95	1.39
510	2005	2005	2207	0	202	2	95	1.39
511	2007	2006	2207	1	201	3	95	1.39
512	2002	2002	2204	0	202	2	95	1.39
513	2005	2005	2207	0	202	2	95	1.39
514	2005	2005	2207	0	202	2	95	1.39
515	2007	2006	2209	1	203	3	95	1.39
516	2005	2005	2207	0	202	2	95	1.39
517	2001	2001	2202	0	201	2	95	1.39
518	2005	2005	2207	0	202	2	95	1.39
519	2007	2006	2209	1	203	3	95	1.39
520	2005	2005	2205	0	200	2	95	1.39
521	2005	2005	2207	0	202	2	95	1.39
522	2004	2004	2204	0	200	2	95	1.39
523	2006	2005	2206	1	201	3	95	1.39
524	2005	2005	2207	0	202	2	95	1.39
525	2005	2005	2207	0	202	2	95	1.39
526	2005	2005	2207	0	202	2	95	1.38
527	2005	2005	2207	0	202	2	95	1.38
528	2001	2001	2201	0	200	2	95	1.39
529	2005	2005	2207	0	202	2	95	1.39
530	2005	2005	2207	0	202	2	95	1.39
531	2006	2005	2205	1	200	2	95	1.39
532	2007	2006	2209	1	203	3	95	1.39
533	2002	2002	2204	0	202	2	95	1.39
534	2005	2005	2207	0	202	2	95	1.39
535	2005	2004	2204	1	200	2	95	1.39
536	2007	2006	2207	1	201	3	95	1.39
537	2005	2005	2207	0	202	2	95	1.39
538	2005	2005	2207	0	202	2	95	1.39
539	2002	2002	2202	0	200	2	95	1.39
540	2006	2005	2206	1	201	3	95	1.39
541	2006	2005	2203	1	198	2	95	1.39
542	2005	2005	2205	0	200	2	95	1.39
543	2005	2005	2207	0	202	2	95	1.38
544	2003	2002	2204	1	202	3	95	1.39
545	2005	2005	2207	0	202	2	95	1.39
546	2005	2005	2207	0	202	2	95	1.39
547	2005	2005	2207	0	202	2	95	1.38
548	2007	2006	2207	1	201	3	95	1.38
549	2004	2004	2206	0	202	2	95	1.38
550	2003	2003	2205	0	202	2	95	1.38
551	2005	2005	2207	0	202	2	95	1.38
552	2005	2005	2207	0	202	2	95	1.38
553	2005	2005	2205	0	200	2	95	1.38
554	2005	2005	2205	0	200	2	95	1.38
555	2001	2001	2203	0	202	2	95	1.39
556	2005	2005	2207	0	202	2	95	1.38
557	2007	2006	2209	1	203	3	95	1.39
558	2005	2005	2207	0	202	2	95	1.38
559	2005	2005	2207	0	202	2	95	1.38
560	2003	2003	2205	0	202	2	95	1.38
561	2007	2006	2207	1	201	3	95	1.38
562	2005	2005	2205	0	200	2	95	1.38
563	2005	2005	2206	0	201	2	95	1.38
564	2005	2005	2207	0	202	2	95	1.38
565	2007	2006	2209	1	203	3	95	1.38
566	2001	2001	2203	0	202	2	95	1.39
567	2005	2005	2207	0	202	2	95	1.39
568	2005	2005	2207	0	202	2	95	1.38
569	2007	2006	2209	1	203	3	95	1.38
570	2005	2005	2207	0	202	2	95	1.38
571	2001	2001	2203	0	202	2	95	1.39
572	2005	2005	2207	0	202	2	95	1.39
573	2005	2005	2207	0	202	2	95	1.39
574	2005	2005	2207	0	202	2	95	1.39
575	2005	2005	2207	0	202	2	95	1.39
576	2005	2005	2207	0	202	2	95	1.39
577	2002	2002	2204	0	202	2	95	1.39
578	2007	2006	2207	1	201	3	95	1.39
579	2005	2005	2207	0	202	2	95	1.39
580	2005	2005	2205	0	200	2	95	1.39
581	2005	2005	2206	0	201	2	95	1.38
582	2003	2002	2205	1	203	3	95	1.39
583	2005	2005	2207	0	202	2	95	1.39
584	2005	2005	2207	0	202	2	95	1.39
585	2005	2005	2205	0	200	2	95	1.38
586	2007	2006	2209	1	203	3	95	1.38
587	2004	2004	2205	0	201	2	95	1.38
588	2003	2003	2205	0	202	2	95	1.38
589	2005	2005	2207	0	202	2	95	1.38
590	2007	2006	2207	1	201	3	95	1.38
591	2006	2005	2205	1	200	2	95	1.38
592	2005	2005	2207	0	202	2	95	1.38
593	2001	2001	2201	0	200	2	95	1.39
594	2007	2006	2209	1	203	3	95	1.39
595	2005	2005	2207	0	202	2	95	1.39
596	2005	2005	2205	0	200	2	95	1.39
597	2005	2004	2204	1	200	2	95	1.38
598	2002	2002	2202	0	200	2	95	1.39
599	2005	2005	2205	0	200	2	95	1.39
600	2006	2005	2203	1	198	2	95	1.39
601	2005	2005	2207	0	202	2	95	1.38
602	2005	2005	2207	0	202	2	95	1.38
603	2007	2006	2207	1	201	3	95	1.38
