"ITERNUM"	"METIME1"	"METIME2"
826	130264	130118
827	130121	130265
828	130263	130268
829	130267	130266
830	130266	130267
831	130259	130267
832	130256	130282
833	130276	130264
834	130286	130276
835	130280	130257
836	130278	130251
837	130283	130269
838	130253	130271
839	130306	130109
840	130108	130276
841	130262	130267
842	130276	130266
843	130281	130273
844	130270	130268
845	130284	130274
846	130280	130260
847	130271	130281
848	130279	130278
849	130289	130276
850	130283	130274
851	130399	130273
852	130297	130114
853	130129	130265
854	130272	130290
855	130259	130284
856	130264	130274
857	130259	130275
858	130281	130285
859	130272	130284
860	130280	131075
861	130285	130277
862	130280	130275
863	130267	130277
864	130281	130283
865	130277	130278
866	130272	130136
867	130144	130270
868	130273	130272
869	130281	130280
870	130287	130275
871	130264	130268
872	130270	130289
873	130271	130274
874	130270	130274
875	130281	130269
876	130277	130269
877	130274	130280
878	130267	130266
879	130271	130142
880	130139	130293
881	130280	130284
882	130275	130272
883	130272	130277
884	130277	130260
885	130292	130298
886	130281	130270
887	130275	130269
888	130267	130293
889	130261	130276
890	130284	130278
891	130279	130275
892	130257	130122
893	130280	130281
894	130290	130284
895	130290	130282
896	130297	130279
897	130285	130281
898	130276	130286
899	130274	130275
900	130275	130299
901	130283	130285
902	130293	130290
903	130293	130294
904	130300	130293
905	130296	130141
906	130139	130404
907	130303	130297
908	130284	130300
909	130289	130290
910	130296	130281
911	130282	130282
912	130306	130280
913	130297	130292
914	130291	130285
915	130282	130282
916	130844	130271
917	130283	130282
918	130294	130293
919	130288	130128
920	130124	130281
921	130291	130281
922	130281	130289
923	130284	130277
924	130288	130283
925	130266	130279
926	130284	130302
927	130276	130283
928	130298	130285
929	130291	130270
930	130295	130275
931	130282	130270
932	130275	130111
933	130129	130285
934	130285	130278
935	130270	130288
936	130291	130294
937	130289	130266
938	130279	130281
939	130294	130308
940	130296	130278
941	130282	130279
942	130288	130292
943	130275	130286
944	130286	130278
945	130271	130124
946	130152	130283
947	130278	130281
948	130257	130276
949	130274	130272
950	130276	130281
951	130282	130284
952	130278	130292
953	130273	130273
954	130271	130273
955	130276	130269
956	130276	130266
957	130279	130279
958	130254	130118
959	130113	130282
960	130269	130265
961	130267	130364
962	130278	130275
963	130263	130264
964	130259	130280
965	130263	130297
966	130272	130274
967	130298	130261
968	130265	130258
969	130279	130272
970	130267	130271
971	131049	130283
972	130272	130127
973	130260	130274
974	130277	130264
975	130283	130271
976	130276	130281
977	130271	130272
978	130303	130270
979	130271	130268
980	130277	130285
981	130287	130275
982	130273	130279
983	130273	130284
984	130276	130269
985	130125	130287
986	130292	130281
987	130264	130272
988	130280	130283
989	130278	130296
990	130278	130292
991	130280	130268
992	130272	130282
993	130278	130265
994	130278	130266
995	130277	130281
996	130268	130264
997	130276	130266
998	130123	130278
999	130281	130275
1000	130275	130271
