"ITERNUM"	"METIME1"	"METIME2"
790	8016	8019
791	8016	8018
792	8014	8020
793	8016	8019
794	8016	8017
795	8016	8020
796	8016	8019
797	8016	8017
798	8016	8019
799	8017	8019
800	8014	8019
801	8019	8019
802	8016	8019
803	8015	8019
804	8016	8019
805	8016	8017
806	8015	8020
807	8016	8019
808	8017	8017
809	8017	8019
810	8017	8019
811	8018	8017
812	8018	8019
813	8018	8019
814	8017	8019
815	8018	8019
816	8018	8018
817	8017	8019
818	8018	8019
819	8019	8017
820	8016	8019
821	8018	8019
822	8019	8017
823	8018	8019
824	8018	8019
825	8018	8017
826	8017	8019
827	8017	8019
828	8015	8020
829	8016	8019
830	8016	8019
831	8015	8019
832	8016	8019
833	8016	8017
834	8014	8019
835	8016	8019
836	8016	8017
837	8016	8019
838	8016	8019
839	8016	8018
840	8016	8019
841	8016	8019
842	8014	8019
843	8016	8019
844	8016	8019
845	8014	8019
846	8016	8020
847	8016	8017
848	8016	8019
849	8016	8019
850	8016	8018
851	8016	8019
852	8016	8019
853	8014	8019
854	8016	8019
855	8016	8019
856	8014	8019
857	8017	8019
858	8019	8017
859	8018	8016
860	8021	8014
861	8021	8012
862	8021	8014
863	8021	8014
864	8021	8012
865	8022	8014
866	8021	8014
867	8019	8014
868	8021	8014
869	8021	8014
870	8020	8014
871	8021	8801
872	8021	8014
873	8019	8014
874	8021	8014
875	8021	8014
876	8020	8016
877	8021	8019
878	8018	8017
879	8016	8020
880	8016	8019
881	8016	8017
882	8016	8019
883	8016	8019
884	8014	8019
885	8016	8020
886	8016	8019
887	8014	8019
888	8016	8019
889	8016	8019
890	8015	8019
891	8020	8015
892	8021	8012
893	8021	8014
894	8022	8014
895	8021	8012
896	8021	8014
897	8021	8014
898	8019	8014
899	8021	8014
900	8021	8014
901	8019	8014
902	8022	8018
903	8019	8017
904	8015	8019
905	8016	8019
906	8016	8017
907	8016	8019
908	8016	8019
909	8016	8017
910	8016	8019
911	8016	8019
912	8016	8018
913	8016	8019
914	8019	8016
915	8019	8014
916	8022	8014
917	8021	8014
918	8019	8014
919	8021	8014
920	8021	8012
921	8021	8014
922	8021	8014
923	8021	8014
924	8020	8019
925	8017	8019
926	8016	8017
927	8016	8019
928	8016	8019
929	8014	8019
930	8016	8020
931	8016	8019
932	8014	8019
933	8019	8017
934	8021	8012
935	8021	8014
936	8021	8014
937	8021	8012
938	8021	8014
939	8021	8014
940	8019	8014
941	8021	8016
942	8020	8019
943	8015	8019
944	8016	8019
945	8016	8020
946	8014	8019
947	8016	8019
948	8016	8017
949	8016	8019
950	8018	8017
951	8021	8012
952	8021	8014
953	8021	8014
954	8019	8014
955	8021	8014
956	8021	8014
957	8019	8015
958	8021	8019
959	8017	8017
960	8014	8019
961	8016	8019
962	8016	8017
963	8016	8020
964	8016	8019
965	8016	8017
966	8020	8015
967	8022	8014
968	8019	8014
969	8021	8014
970	8021	8014
971	8019	8014
972	8021	8015
973	8021	8017
974	8017	8019
975	8016	8019
976	8016	8017
977	8016	8019
978	8016	8019
979	8017	8016
980	8021	8014
981	8021	8014
982	8021	8014
983	8021	8014
984	8021	8016
985	8018	8019
986	8016	8019
987	8016	8017
988	8015	8019
989	8016	8019
990	8018	8015
991	8021	8014
992	8021	8014
993	8022	8012
994	8021	8014
995	8022	8019
996	8018	8019
997	8016	8019
998	8016	8019
999	8014	8019
1000	8016	8019
