ITERNUM	METIME1	METIME2
885	2006	2004
886	2004	2006
887	2004	2000
888	2005	2004
889	2006	2004
890	2005	2000
891	2006	2004
892	2004	2004
893	2004	2002
894	2005	2004
895	2004	2004
896	2004	2000
897	2004	2004
898	2006	2004
899	2004	2000
900	2004	2006
901	2004	2004
902	2004	2002
903	2004	2004
904	2004	2004
905	2006	2000
906	2004	2004
907	2006	2004
908	2004	2000
909	2005	2006
910	2004	2004
911	2005	2000
912	2004	2004
913	2005	2004
914	2006	2000
915	2005	2004
916	2004	2006
917	2005	2000
918	2004	2006
919	2004	2004
920	2005	2000
921	2007	2004
922	2004	2004
923	2006	2000
924	2004	2004
925	2004	2006
926	2005	2000
927	2004	2006
928	2005	2004
929	2004	2000
930	2007	2004
931	2004	2004
932	2006	2000
933	2004	2004
934	2004	2006
935	2005	2000
936	2004	2004
937	2006	2004
938	2004	2000
939	2006	2004
940	2004	2004
941	2005	2002
942	2004	2004
943	2004	2006
944	2004	2000
945	2004	2004
946	2006	2004
947	2004	2000
948	2006	2004
949	2004	2004
950	2005	2002
951	2004	2004
952	2004	2004
953	2004	2000
954	2005	2004
955	2006	2004
956	2004	2000
957	2005	2006
958	2004	2004
959	2005	2002
960	2004	2004
961	2004	2004
962	2006	2000
963	2005	2004
964	2006	2004
965	2004	2000
966	2004	2006
967	2004	2004
968	2005	2000
969	2004	2004
970	2005	2004
971	2006	2000
972	2004	2004
973	2005	2006
974	2004	2000
975	2005	2006
976	2005	2004
977	2004	2000
978	2006	2004
979	2004	2004
980	2006	2000
981	2004	2004
982	2005	2006
983	2004	2000
984	2004	2006
985	2005	2004
986	2004	2000
987	2006	2004
988	2004	2004
989	2006	2004
990	2004	1999
991	2004	2006
992	2004	2004
993	2004	2004
994	2004	1999
995	2004	2004
996	2006	2004
997	2005	2004
998	2004	2000
999	2005	2004
1000	2004	2006
